Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.00257943385,5.70112960297,0.0,5.6731622246,0.0,0.140954758198,0.140954758198,0.140954758198,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.1588034544
 01/01  02:00:00,0.829377131838,6.32045304591,0.0,6.29470245734,0.0,0.155412067242,0.155412067242,0.155412067242,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844100461
 01/01  03:00:00,0.772655342772,6.73168778276,0.0,6.70623575173,0.0,0.164726649177,0.164726649177,0.164726649177,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417455241
 01/01  04:00:00,0.771966747738,7.08932976339,0.0,7.06423600142,0.0,0.172923994042,0.172923994042,0.172923994042,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072767058
 01/01  05:00:00,0.824317133373,7.31873257995,0.0,7.2945867382,0.0,0.178160081355,0.178160081355,0.178160081355,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137200292
 01/01  06:00:00,1.09539864244,7.5243951738,0.0,7.49745035503,0.0,0.182852359825,0.182852359825,0.182852359825,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635113523
 01/01  07:00:00,1.71062089423,7.36398697793,0.0,7.33285488954,0.0,0.178827965102,0.178827965102,0.178827965102,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385255696
 01/01  08:00:00,2.15511429387,7.89697631126,0.0,7.86389613486,0.0,0.191778586207,0.191778586207,0.191778586207,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255879
 01/01  09:00:00,2.06653086631,6.52393603158,0.0,6.49596865321,0.0,0.158418634096,0.158418634096,0.158418634096,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488225
 01/01  10:00:00,1.79417570774,5.35735275805,0.0,5.33355025748,0.0,0.130070477827,0.130070477827,0.130070477827,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428686795
