Date,Value (kWh),day_of_week,notes
1/6/2016 0:00,1.057,2,weekday
1/6/2016 1:00,1.171,2,weekday
1/6/2016 2:00,0.56,2,weekday
1/6/2016 3:00,0.828,2,weekday
1/6/2016 4:00,0.932,2,weekday
1/6/2016 5:00,0.333,2,weekday
1/6/2016 6:00,0.462,2,weekday
1/6/2016 7:00,0.493,2,weekday
1/6/2016 8:00,0.325,2,weekday
1/6/2016 9:00,0.294,2,weekday
1/6/2016 10:00,0.273,2,weekday
1/6/2016 11:00,0.723,2,weekday
1/6/2016 12:00,0.426,2,weekday
1/6/2016 13:00,0.421,2,weekday
1/6/2016 14:00,0.447,2,weekday
1/6/2016 15:00,0.496,2,weekday
1/6/2016 16:00,0.523,2,weekday
1/6/2016 17:00,3.647,2,weekday
1/6/2016 18:00,3.018,2,weekday
1/6/2016 19:00,3.326,2,weekday
1/6/2016 20:00,2.175,2,weekday
1/6/2016 21:00,2.973,2,weekday
1/6/2016 22:00,2.994,2,weekday
1/6/2016 23:00,1.794,2,weekday
2/6/2016 0:00,1.281,5,weekend
2/6/2016 1:00,1.169,5,weekend
2/6/2016 2:00,1.231,5,weekend
2/6/2016 3:00,0.909,5,weekend
2/6/2016 4:00,0.825,5,weekend
2/6/2016 5:00,0.55,5,weekend
2/6/2016 6:00,0.514,5,weekend
2/6/2016 7:00,0.536,5,weekend
2/6/2016 8:00,0.657,5,weekend
2/6/2016 9:00,0.655,5,weekend
2/6/2016 10:00,0.886,5,weekend
2/6/2016 11:00,0.894,5,weekend
2/6/2016 12:00,0.824,5,weekend
2/6/2016 13:00,0.55,5,weekend
2/6/2016 14:00,0.537,5,weekend
2/6/2016 15:00,0.799,5,weekend
2/6/2016 16:00,0.833,5,weekend
2/6/2016 17:00,3.408,5,weekend
2/6/2016 18:00,3.071,5,weekend
2/6/2016 19:00,1.642,5,weekend
2/6/2016 20:00,0.896,5,weekend
2/6/2016 21:00,2.71,5,weekend
2/6/2016 22:00,1.176,5,weekend
2/6/2016 23:00,2.236,5,weekend
3/6/2016 0:00,0.736,6,weekend
3/6/2016 1:00,1.102,6,weekend
3/6/2016 2:00,0.624,6,weekend
3/6/2016 3:00,0.595,6,weekend
3/6/2016 4:00,0.702,6,weekend
3/6/2016 5:00,0.308,6,weekend
3/6/2016 6:00,0.364,6,weekend
3/6/2016 7:00,0.534,6,weekend
3/6/2016 8:00,0.471,6,weekend
3/6/2016 9:00,0.356,6,weekend
3/6/2016 10:00,0.263,6,weekend
3/6/2016 11:00,0.314,6,weekend
3/6/2016 12:00,0.349,6,weekend
3/6/2016 13:00,0.517,6,weekend
3/6/2016 14:00,0.408,6,weekend
3/6/2016 15:00,0.417,6,weekend
3/6/2016 16:00,0.561,6,weekend
3/6/2016 17:00,2.164,6,weekend
3/6/2016 18:00,2.055,6,weekend
3/6/2016 19:00,1.863,6,weekend
3/6/2016 20:00,1.258,6,weekend
3/6/2016 21:00,1.381,6,weekend
3/6/2016 22:00,1.163,6,weekend
3/6/2016 23:00,0.742,6,weekend
4/6/2016 0:00,0.636,2,weekday
4/6/2016 1:00,0.955,2,weekday
4/6/2016 2:00,0.717,2,weekday
4/6/2016 3:00,0.671,2,weekday
4/6/2016 4:00,0.692,2,weekday
4/6/2016 5:00,0.313,2,weekday
4/6/2016 6:00,0.3,2,weekday
4/6/2016 7:00,0.282,2,weekday
4/6/2016 8:00,0.525,2,weekday
4/6/2016 9:00,0.558,2,weekday
4/6/2016 10:00,0.365,2,weekday
4/6/2016 11:00,0.402,2,weekday
4/6/2016 12:00,0.445,2,weekday
4/6/2016 13:00,0.283,2,weekday
4/6/2016 14:00,0.303,2,weekday
4/6/2016 15:00,0.588,2,weekday
4/6/2016 16:00,1.559,2,weekday
4/6/2016 17:00,3.027,2,weekday
4/6/2016 18:00,1.983,2,weekday
4/6/2016 19:00,1.514,2,weekday
4/6/2016 20:00,1.557,2,weekday
4/6/2016 21:00,2.045,2,weekday
4/6/2016 22:00,1.031,2,weekday
4/6/2016 23:00,2.132,2,weekday
5/6/2016 0:00,1.033,4,weekday
5/6/2016 1:00,0.857,4,weekday
5/6/2016 2:00,0.711,4,weekday
5/6/2016 3:00,0.686,4,weekday
5/6/2016 4:00,0.311,4,weekday
5/6/2016 5:00,0.293,4,weekday
5/6/2016 6:00,0.339,4,weekday
5/6/2016 7:00,0.324,4,weekday
5/6/2016 8:00,0.435,4,weekday
5/6/2016 9:00,0.458,4,weekday
5/6/2016 10:00,0.306,4,weekday
5/6/2016 11:00,0.412,4,weekday
5/6/2016 12:00,0.796,4,weekday
5/6/2016 13:00,1.922,4,weekday
5/6/2016 14:00,1.486,4,weekday
5/6/2016 15:00,1.671,4,weekday
5/6/2016 16:00,1.549,4,weekday
5/6/2016 17:00,2.44,4,weekday
5/6/2016 18:00,1.864,4,weekday
5/6/2016 19:00,1.314,4,weekday
5/6/2016 20:00,1.195,4,weekday
5/6/2016 21:00,2.347,4,weekday
5/6/2016 22:00,1.256,4,weekday
5/6/2016 23:00,1.19,4,weekday
6/6/2016 0:00,0.885,0,weekday
6/6/2016 1:00,0.739,0,weekday
6/6/2016 2:00,0.987,0,weekday
6/6/2016 3:00,0.65,0,weekday
6/6/2016 4:00,0.757,0,weekday
6/6/2016 5:00,0.287,0,weekday
6/6/2016 6:00,0.478,0,weekday
6/6/2016 7:00,0.521,0,weekday
6/6/2016 8:00,0.356,0,weekday
6/6/2016 9:00,0.39,0,weekday
6/6/2016 10:00,0.407,0,weekday
6/6/2016 11:00,0.808,0,weekday
6/6/2016 12:00,0.572,0,weekday
6/6/2016 13:00,0.763,0,weekday
6/6/2016 14:00,0.706,0,weekday
6/6/2016 15:00,0.51,0,weekday
6/6/2016 16:00,0.439,0,weekday
6/6/2016 17:00,3.736,0,weekday
6/6/2016 18:00,3.804,0,weekday
6/6/2016 19:00,3.106,0,weekday
6/6/2016 20:00,2.324,0,weekday
6/6/2016 21:00,2.601,0,weekday
6/6/2016 22:00,1.991,0,weekday
6/6/2016 23:00,1.506,0,weekday
7/6/2016 0:00,0.988,2,weekday
7/6/2016 1:00,1.178,2,weekday
7/6/2016 2:00,1.049,2,weekday
7/6/2016 3:00,0.943,2,weekday
7/6/2016 4:00,1.024,2,weekday
7/6/2016 5:00,0.315,2,weekday
7/6/2016 6:00,0.504,2,weekday
7/6/2016 7:00,0.425,2,weekday
7/6/2016 8:00,0.369,2,weekday
7/6/2016 9:00,0.268,2,weekday
7/6/2016 10:00,0.422,2,weekday
7/6/2016 11:00,0.38,2,weekday
7/6/2016 12:00,0.316,2,weekday
7/6/2016 13:00,0.708,2,weekday
7/6/2016 14:00,0.82,2,weekday
7/6/2016 15:00,0.672,2,weekday
7/6/2016 16:00,0.478,2,weekday
7/6/2016 17:00,4.431,2,weekday
7/6/2016 18:00,4.019,2,weekday
7/6/2016 19:00,2.334,2,weekday
7/6/2016 20:00,2.349,2,weekday
7/6/2016 21:00,2.852,2,weekday
7/6/2016 22:00,2.037,2,weekday
7/6/2016 23:00,1.441,2,weekday
8/6/2016 0:00,1.243,5,weekend
8/6/2016 1:00,0.99,5,weekend
8/6/2016 2:00,1.07,5,weekend
8/6/2016 3:00,0.991,5,weekend
8/6/2016 4:00,1.001,5,weekend
8/6/2016 5:00,0.578,5,weekend
8/6/2016 6:00,0.446,5,weekend
8/6/2016 7:00,0.516,5,weekend
8/6/2016 8:00,0.336,5,weekend
8/6/2016 9:00,0.393,5,weekend
8/6/2016 10:00,0.535,5,weekend
8/6/2016 11:00,1.067,5,weekend
8/6/2016 12:00,1.371,5,weekend
8/6/2016 13:00,1.244,5,weekend
8/6/2016 14:00,1.365,5,weekend
8/6/2016 15:00,1.457,5,weekend
8/6/2016 16:00,2.391,5,weekend
8/6/2016 17:00,4.754,5,weekend
8/6/2016 18:00,3.873,5,weekend
